CRPName,CID,Party,DistIDRunFor,State,District
"Butterfield, G K",N00027035,D,NC01,NC,1
"Butts, Pamela Pinkney",N00042192,D,OH11,OH,11
"Byrne, Bradley",N00035380,R,AL01,AL,1
"Byrne, Michael",N00043222,D,OR02,OR,2
"Cabildo, Maria",N00040647,D,CA34,CA,34
"Cadena , Angel",N00039948,R,CT03,CT,3
"Cadien, Tawana",N00034726,D,TX10,TX,10
"Caffrey, Andy",N00033505,D,CA02,CA,2
"Caforio, Bryan",N00038607,D,CA25,CA,25
"Cain, Butler",N00041054,D,AL05,AL,5
"Caiozzo, Salvatore",N00040178,R,RI02,RI,2
"Calderon, Roza",N00041067,D,CA04,CA,4
"Caldwell, Kevin",N00041814,L,MD06,MD,6
"Caldwell, Randy",N00043100,R,AR04,AR,4
"Caldwell, Vann",N00041271,D,ALS1,AL,S1
"Caligiuri, Ginny",N00042820,R,IA02,IA,2
"Callahan, David",N00043016,R,GA13,GA,13
"Callahan, Mark",N00041528,R,OR05,OR,5
"Callaway, Jeff",N00042920,L,TX01,TX,1
"Callesto, Chuck",N00043317,R,FL03,FL,3
"Calvert, Ken",N00007099,R,CA42,CA,42
"Cambers, Kress",N00041829,R,MO05,MO,5
"Cameron, Craig",N00041346,R,IL07,IL,7
"Campa-Najjar, Ammar",N00040871,D,CA50,CA,50
"Campagna, Sheryl",N00042108,D,HI02,HI,2
"Campbell, Danny",N00042233,R,TX05,TX,5
"Campbell, Doug",N00041138,I,MT01,MT,1
"Campbell, Japheth",N00041619,L,MOS2,MO,S2
"Campbell, Mike",N00013089,R,IN06,IN,6
"Campbell, Tom",N00041738,R,ND01,ND,1
"Campbell, Tony",N00042978,R,MDS1,MD,S1
"Camper, Candance",N00041311,R,CA43,CA,43
"Campos, Allen",N00042304,D,WI07,WI,7
"Campoverdi, Alejandra",N00040611,D,CA34,CA,34
"Canada, Tom",N00043102,L,AR04,AR,4
"Canales, Judy",N00041880,D,TX23,TX,23
"Cano, Christian",N00038436,D,NC09,NC,9
"Canon, Dan",N00041347,D,IN09,IN,9
"Canova, Tim",N00038633,I,FL23,FL,23
"Canseco, Quico",N00026722,R,TX21,TX,21
"Cantu, James",N00041405,R,TX08,TX,8
"Cantwell, Maria",N00007836,D,WAS1,WA,S1
"Capuano, Michael E",N00000267,D,MA07,MA,7
"Caraway, Barbara Mallory",N00033544,D,TX30,TX,30
"Carbajal, Salud",N00037015,D,CA24,CA,24
"Cardenas, Beatrice",N00042571,R,CA27,CA,27
"Cardenas, Tony",N00033373,D,CA29,CA,29
"Cardin, Ben",N00001955,D,MDS1,MD,S1
"Carey, Pete",N00042956,3,VA11,VA,11
"Cargas, James",N00034135,D,TX07,TX,7
"Carico, John",N00043569,I,TNS1,TN,S1
"Carlson, Collin Richard",N00043606,I,WA02,WA,2
"Carlson, Kristen",N00043423,D,FL15,FL,15
"Carlson, Rob",N00042872,D,NJ01,NJ,1
"Carlson, Steve",N00032688,D,MNS2,MN,S2
"Carlton, Todd",N00039427,D,TX08,TX,8
"Carmona, Arturo",N00040612,D,CA34,CA,34
"Carp, Evan",N00040944,R,OH14,OH,14
"Carpenter, Crystal",N00042350,I,HIS2,HI,S2
"Carpenter, Douglas",N00036120,D,IN02,IN,2
"Carper, Tom",N00012508,D,DES1,DE,S1
"Carr, Bob",N00004098,R,MIS2,MI,S2
"Carrigan, Sean",N00041693,D,SC02,SC,2
"Carrillo, John Rene",N00041703,D,TX16,TX,16
"Carrillo, Wendy",N00040598,D,CA34,CA,34
"Carroll, Brian",N00042070,I,CA22,CA,22
"Carroll, Jerry Leon",N00007498,I,CAS2,CA,S2
"Carson, Andre",N00029513,D,IN07,IN,7
"Carter, Anthony",N00042451,D,MD07,MD,7
"Carter, Buddy",N00035346,R,GA01,GA,1
"Carter, John",N00025095,R,TX31,TX,31
"Carter, Patrick",N00042879,R,NV03,NV,3
"Cartwright, Matt",N00034128,D,PA08,PA,8
"Casara, Daniel",N00041315,R,CA52,CA,52
"Casas, Mason",N00040977,D,TX11,TX,11
"Case, Ed",N00025882,D,HI01,HI,1
"Casey, Bob",N00027503,D,PAS2,PA,S2
"Casey, Keith",N00038807,R,TX14,TX,14
"Casey, Thomas",N00025817,D,NY27,NY,27
"Casson, Thomas",N00036093,I,AL03,AL,3
"Castaldo, Richard",N00043366,L,OK02,OK,2
"Castaneda, Julio",N00041074,I,CA39,CA,39
"Casten, Sean",N00041338,D,IL06,IL,6
"Castillo, Lee",N00043050,D,UT01,UT,1
"Castor, Kathy",N00027514,D,FL14,FL,14
"Castro, Joaquin",N00033316,D,TX20,TX,20
"Cavanaugh, Kevin",N00040639,R,AZ01,AZ,1
"Cavasso, Cam",N00027227,R,HI01,HI,1
"Cerilli, Gina",N00041999,D,PA14,PA,14
"Chabot, Steve",N00003689,R,OH01,OH,1
"Chadwick, Gloria",N00040668,D,CA50,CA,50
"Chaffee, Chris",N00036537,R,MDS1,MD,S1
"Chamberlin, Christopher",N00042153,R,MN05,MN,5
"Chandler, Alexandra",N00042136,D,MA03,MA,3
"Chapin, Dan R",N00043138,I,CO06,CO,6
