State,Name,CID,FECCandID
NY,Patricia Latzman,N00043517,H8NY01221
IN,Jasen Lave,N00042430,H8IN04223
OR,Ben Lavine,N00043226,H8OR03086
NC,Phil Law,N00036940,H8NC03068
PA,Bobby Lawrence,N00041287,S8PA00288
MI,Brenda Lawrence,N00034068,H2MI14111
NY,Derickson Lawrence,N00039316,H6NY16132
PA,Michele Lawrence,N00042203,H8PA01245
CA,Jerry Laws,N00037434,S6CA00717
NC,Michelle Laws,N00042658,H8NC04116
FL,Al Lawson,N00030642,H0FL02086
CA,Robert Lawton,N00042778,H8CA04244
PA,Rich Lazer,N00042703,H8PA01278
PA,Daylin Leach,N00011016,H8PA07150
FL,Andrew Learned,N00041089,H8FL15180
UT,Mike Leavitt,N00041226,H8UT03287
TX,Nicole Leclaire,N00040979,H8TX16075
TX,Jacob Leddy,N00042254,H8TX12090
